name,pitcher_id,team_name,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitch_type,pitch_type_name,vertical_break,horizonal_break
 Jeff Hoffman,656546,CIN,R,94.2,441,848,FF,4-Seamer,13.8,10.7
 Bryse Wilson,669060,PIT,R,92.7,438,1825,FF,4-Seamer,17.4,8.5
 Robert Stephenson,596112,PIT,R,96.8,437,914,FF,4-Seamer,14.0,11.4
 Ryan Brasier,518489,BOS,R,95.9,435,985,FF,4-Seamer,13.2,7.1
 Jarlín García,606424,SF,L,93.8,435,1015,FF,4-Seamer,18.1,14.8
 Michael Pineda,501381,DET,R,89.9,433,731,FF,4-Seamer,19.8,5.5
 Adam Oller,670124,OAK,R,93.3,431,1294,FF,4-Seamer,14.2,11.1
 Tommy Henry,674072,AZ,L,91.6,430,773,FF,4-Seamer,17.6,7.2
 Cory Abbott,676265,WSH,R,91.3,430,845,FF,4-Seamer,15.8,11.5
 Johan Oviedo,670912,PIT,R,96.0,426,980,FF,4-Seamer,19.5,8.7
 Trevor Megill,656730,MIN,R,98.0,424,774,FF,4-Seamer,11.7,4.2
 James Karinchak,675916,CLE,R,95.2,420,704,FF,4-Seamer,9.5,1.9
 Bailey Ober,641927,MIN,R,91.5,419,854,FF,4-Seamer,15.3,8.5
 Domingo Acevedo,642758,OAK,R,93.0,419,1005,FF,4-Seamer,18.4,13.6
 Luke Weaver,596133,KC,R,94.9,418,721,FF,4-Seamer,14.1,8.9
 Héctor Neris,593576,HOU,R,94.3,415,1012,FF,4-Seamer,13.9,10.4
 Ryan Pepiot,686752,LAD,R,93.9,414,737,FF,4-Seamer,12.9,9.9
 Penn Murfee,682171,SEA,R,89.0,412,1003,FF,4-Seamer,26.7,2.9
 Andrew Wantz,681806,LAA,R,93.8,411,831,FF,4-Seamer,13.6,3.0
 Hirokazu Sawamura,617228,BOS,R,95.9,409,838,FF,4-Seamer,14.0,8.8
 Drew Smith,622098,NYM,R,95.7,409,780,FF,4-Seamer,11.4,7.0
 Mike Mayers,594577,LAA,R,93.5,409,890,FF,4-Seamer,15.0,11.0
 Will Smith,519293,HOU,L,92.1,409,985,FF,4-Seamer,15.4,8.6
 Garrett Hill,682051,DET,R,92.0,405,1019,FF,4-Seamer,16.3,9.5
 Bailey Falter,663559,PHI,L,91.4,404,1295,FF,4-Seamer,13.8,1.2
 Tanner Banks,621383,CWS,L,92.9,403,897,FF,4-Seamer,15.5,1.9
 Cionel Pérez,672335,BAL,L,97.0,403,901,FF,4-Seamer,12.7,6.2
 Devin Williams,642207,MIL,R,93.9,401,1068,FF,4-Seamer,14.5,12.2
 Matt Foster,641582,CWS,R,93.7,400,768,FF,4-Seamer,12.6,5.8
 Rony García,665621,DET,R,92.9,395,885,FF,4-Seamer,18.0,10.6
 Griffin Jax,643377,MIN,R,95.4,390,1157,FF,4-Seamer,13.5,8.6
 Andrew Bellatti,571479,PHI,R,94.4,389,963,FF,4-Seamer,14.2,10.5
 Caleb Ferguson,657571,LAD,L,94.8,388,580,FF,4-Seamer,14.5,6.2
 Matt Festa,670036,SEA,R,92.6,388,897,FF,4-Seamer,17.6,4.8
 Edwin O Díaz,621242,NYM,R,99.1,386,928,FF,4-Seamer,14.5,13.5
 Zack Littell,641793,SF,R,94.5,384,758,FF,4-Seamer,12.6,6.2
 Michael Rucker,621074,CHC,R,94.7,379,914,FF,4-Seamer,14.5,7.4
 Tucker Davidson,656353,LAA,L,93.1,379,912,FF,4-Seamer,14.3,3.5
 Aroldis Chapman,547973,NYY,L,97.5,377,679,FF,4-Seamer,11.0,4.5
 Tyler Alexander,641302,DET,L,90.1,375,1591,FF,4-Seamer,15.9,7.7
 Adrian Morejon,670970,SD,L,96.9,373,540,FF,4-Seamer,12.2,6.8
 Josh Staumont,622251,KC,R,96.1,372,731,FF,4-Seamer,11.6,2.7
 Michael Lorenzen,547179,LAA,R,94.6,368,1654,FF,4-Seamer,15.8,11.9
 Buck Farmer,571656,CIN,R,94.6,368,855,FF,4-Seamer,15.3,10.1
 Tanner Rainey,663432,WSH,R,97.0,366,521,FF,4-Seamer,11.0,8.7
 Chris Bassitt,605135,NYM,R,93.3,365,2886,FF,4-Seamer,17.8,5.5
 Adam Cimber,643256,TOR,R,86.5,365,1044,FF,4-Seamer,31.6,10.9
 Taylor Clarke,664199,KC,R,95.6,364,859,FF,4-Seamer,12.3,5.5
 Chris Martin,455119,LAD,R,95.3,363,858,FF,4-Seamer,15.9,7.7
 Andrés Muñoz,662253,SEA,R,100.2,362,1024,FF,4-Seamer,13.9,12.1
 Jimmy Lambert,669424,CWS,R,94.3,360,818,FF,4-Seamer,12.7,7.7
 Walker Buehler,621111,LAD,R,95.2,358,1046,FF,4-Seamer,13.3,5.9
 Kyle Hendricks,543294,CHC,R,86.9,358,1347,FF,4-Seamer,20.4,6.0
 Braxton Garrett,666129,MIA,L,91.4,358,1436,FF,4-Seamer,17.1,9.3
 Gregory Soto,642397,DET,L,98.7,351,1102,FF,4-Seamer,14.5,11.2
 Robert Suarez,663158,SD,R,97.9,349,801,FF,4-Seamer,11.6,7.3
 Spencer Howard,675921,TEX,R,94.4,348,692,FF,4-Seamer,14.4,7.6
 Sam Hentges,656529,CLE,L,95.7,348,944,FF,4-Seamer,15.1,8.4
 Daniel Norris,596057,DET,L,91.2,347,1012,FF,4-Seamer,15.5,7.4
 Jackson Stephens,623451,ATL,R,94.1,345,944,FF,4-Seamer,16.2,6.1
 Jovani Moran,663558,MIN,L,93.4,343,672,FF,4-Seamer,13.4,2.9
 Dylan Lee,669276,ATL,L,92.1,343,754,FF,4-Seamer,12.7,7.0
 Reyes Moronta,606625,AZ,R,95.3,342,641,FF,4-Seamer,13.6,6.1
 Vladimir Gutierrez,661269,CIN,R,92.8,340,684,FF,4-Seamer,17.7,12.0
 Steve Cishek,518553,WSH,R,89.3,338,1175,FF,4-Seamer,23.1,12.0
 Zach Thompson,605507,PIT,R,92.3,338,2080,FF,4-Seamer,18.1,2.0
 David Phelps,475479,TOR,R,93.2,337,1151,FF,4-Seamer,13.6,8.7
 Max Castillo,666721,KC,R,93.0,335,697,FF,4-Seamer,17.5,13.0
 Ron Marinaccio,676760,NYY,R,94.6,335,757,FF,4-Seamer,13.6,12.5
 Matt Brash,666374,SEA,R,96.9,334,935,FF,4-Seamer,15.3,11.5
 Joey Krehbiel,607216,BAL,R,94.4,334,977,FF,4-Seamer,15.0,9.9
 Ken Waldichuk,686610,OAK,L,94.1,331,586,FF,4-Seamer,15.4,10.5
 Jharel Cotton,605194,SF,R,92.7,331,741,FF,4-Seamer,13.0,8.3
 Bruce Zimmermann,669145,BAL,L,90.6,328,1130,FF,4-Seamer,16.6,7.9
 Adrian Houser,605288,MIL,R,94.3,328,1848,FF,4-Seamer,15.5,9.4
 Amir Garrett,607237,KC,L,94.2,327,804,FF,4-Seamer,16.6,11.2
 Kyle Gibson,502043,PHI,R,92.0,326,2739,FF,4-Seamer,16.4,6.2
 Oliver Ortega,661383,LAA,R,95.9,323,567,FF,4-Seamer,15.1,2.4
 Peter Strzelecki,657265,MIL,R,93.5,322,605,FF,4-Seamer,17.6,11.5
 Jack Flaherty,656427,STL,R,93.3,320,662,FF,4-Seamer,17.5,3.6
 Matt Barnes,598264,BOS,R,95.0,318,693,FF,4-Seamer,13.7,10.9
 Kaleb Ort,672391,BOS,R,96.3,316,529,FF,4-Seamer,12.9,9.4
 Sam Long,669674,SF,L,94.7,314,739,FF,4-Seamer,12.4,7.5
 Noé Ramirez,598287,AZ,R,89.8,314,837,FF,4-Seamer,22.6,10.4
 Cole Ragans,666142,TEX,L,92.1,314,706,FF,4-Seamer,14.0,10.7
 Zack Thompson,668868,STL,L,94.8,312,575,FF,4-Seamer,14.5,7.9
 Seth Lugo,607625,NYM,R,94.4,312,1079,FF,4-Seamer,13.4,8.3
 Steven Okert,595345,MIA,L,93.7,309,968,FF,4-Seamer,16.5,10.0
 Seranthony Domínguez,622554,PHI,R,97.6,308,823,FF,4-Seamer,14.8,3.1
 Raisel Iglesias,628452,ATL,R,95.0,307,979,FF,4-Seamer,14.4,9.8
 Cole Sulser,642121,MIA,R,91.9,306,619,FF,4-Seamer,14.5,7.6
 Joey Wentz,666214,DET,L,92.4,305,555,FF,4-Seamer,15.6,11.9
 Andres Machado,600921,WSH,R,95.6,305,997,FF,4-Seamer,13.6,7.0
 Dominic Leone,608678,SF,R,95.6,304,826,FF,4-Seamer,14.4,6.1
 Shawn Armstrong,542888,TB,R,95.3,303,1047,FF,4-Seamer,14.2,5.2
 Cole Sands,663485,MIN,R,91.6,303,603,FF,4-Seamer,20.2,8.8
 Jason Adam,592094,TB,R,94.8,302,942,FF,4-Seamer,13.0,6.9
 Noah Syndergaard,592789,PHI,R,94.1,302,2026,FF,4-Seamer,16.7,5.8
 Ian Gibaut,664139,CIN,R,95.8,299,694,FF,4-Seamer,12.5,4.7
 John Schreiber,670167,BOS,R,94.5,298,1020,FF,4-Seamer,21.5,10.3
 Domingo Germán,593334,NYY,R,92.7,295,1081,FF,4-Seamer,15.7,11.0
 Matt Strahm,621381,BOS,L,94.2,292,764,FF,4-Seamer,15.1,13.5
 Adam Wainwright,425794,STL,R,88.0,291,3133,FF,4-Seamer,20.1,1.4
 Scott Barlow,605130,KC,R,93.6,288,1198,FF,4-Seamer,19.1,3.8
 José Leclerc,600917,TEX,R,96.5,286,782,FF,4-Seamer,11.4,4.0
 Ryan Tepera,572193,LAA,R,92.6,282,892,FF,4-Seamer,15.1,7.2
 Elvin Rodriguez,660730,DET,R,93.1,281,534,FF,4-Seamer,13.4,8.9
 Austin Pruitt,643493,OAK,R,91.4,279,809,FF,4-Seamer,17.9,3.2
 Sean Newcomb,656794,CHC,L,94.3,278,552,FF,4-Seamer,14.0,5.7
 Mike Baumann,657508,BAL,R,95.8,278,580,FF,4-Seamer,11.9,5.5
 Trent Thornton,663423,TOR,R,93.8,277,664,FF,4-Seamer,13.1,2.5
 Art Warren,605521,CIN,R,93.5,273,655,FF,4-Seamer,15.5,5.7
 Tyler Duffey,608648,MIN,R,92.3,273,741,FF,4-Seamer,16.4,4.4
 Dinelson Lamet,659275,COL,R,95.4,266,583,FF,4-Seamer,15.4,6.1
 Joel Payamps,606303,OAK,R,94.8,262,952,FF,4-Seamer,14.7,9.0
 Matt Swarmer,664161,CHC,R,90.5,257,657,FF,4-Seamer,18.1,4.1
 Andrew Chafin,605177,DET,L,91.6,256,899,FF,4-Seamer,17.3,9.6
 Tyler Beede,595881,PIT,R,95.8,254,1072,FF,4-Seamer,16.8,11.0
 Génesis Cabrera,650893,STL,L,96.1,252,736,FF,4-Seamer,11.8,7.5
 David Price,456034,LAD,L,92.1,251,596,FF,4-Seamer,20.2,10.6
 Luis Cessa,570666,CIN,R,93.3,249,1235,FF,4-Seamer,16.8,7.4
 Trevor Gott,641627,MIL,R,95.2,249,761,FF,4-Seamer,15.1,8.4
 Nabil Crismatt,622503,SD,R,90.5,248,1062,FF,4-Seamer,19.3,7.4
 Mark Leiter Jr.,643410,CHC,R,91.1,246,1086,FF,4-Seamer,16.5,5.4
 Edward Cabrera,665795,MIA,R,96.0,245,1215,FF,4-Seamer,13.8,9.8
 Brad Hand,543272,PHI,L,92.6,244,817,FF,4-Seamer,17.1,10.3
 Jaime Barría,642545,LAA,R,92.0,239,1123,FF,4-Seamer,15.8,5.8
 Martín Pérez,527048,TEX,L,92.7,238,2979,FF,4-Seamer,17.4,10.9
 Ryan Pressly,519151,HOU,R,94.5,232,711,FF,4-Seamer,12.7,3.2
 Justin Dunn,643290,CIN,R,92.2,231,540,FF,4-Seamer,15.4,8.3
 Dylan Floro,571670,MIA,R,92.4,230,863,FF,4-Seamer,17.6,10.4
 J.B. Wendelken,605525,AZ,R,95.0,228,488,FF,4-Seamer,16.0,3.2
 Connor Brogdon,641401,PHI,R,95.1,227,710,FF,4-Seamer,13.9,10.8
 Joel Kuhnel,669270,CIN,R,96.2,224,934,FF,4-Seamer,17.1,7.0
 Yunior Marte,628708,SF,R,97.8,222,856,FF,4-Seamer,14.5,12.2
 Matthew Liberatore,669461,STL,L,93.7,221,650,FF,4-Seamer,14.7,6.9
 Wil Crowe,640444,PIT,R,95.1,221,1380,FF,4-Seamer,13.6,2.5
 Kirk McCarty,668948,CLE,L,92.5,220,574,FF,4-Seamer,13.6,7.1
 Louis Head,545343,BAL,R,93.6,218,546,FF,4-Seamer,15.7,5.5
 Tim Hill,657612,SD,L,91.5,217,745,FF,4-Seamer,28.3,17.4
 Tanner Houck,656557,BOS,R,95.2,216,918,FF,4-Seamer,20.9,10.4
 Kyle Nelson,669459,AZ,L,91.9,215,593,FF,4-Seamer,17.4,3.9
 Aníbal Sánchez,434671,WSH,R,89.9,205,1232,FF,4-Seamer,17.1,3.7
 Marcus Stroman,573186,CHC,R,92.4,205,2181,FF,4-Seamer,18.8,4.2
 Chase Silseth,681217,LAA,R,95.4,201,501,FF,4-Seamer,14.1,7.3
 Wyatt Mills,670090,KC,R,91.8,201,503,FF,4-Seamer,24.9,13.9
 Seth Martinez,661527,HOU,R,91.9,200,592,FF,4-Seamer,19.1,10.3
 Jeurys Familia,544727,BOS,R,95.4,197,817,FF,4-Seamer,16.4,10.2
 Dany Jiménez,666204,OAK,R,93.9,197,539,FF,4-Seamer,13.4,3.4
 Aaron Sanchez,592717,MIN,R,92.4,197,1006,FF,4-Seamer,18.2,11.2
 Reiver Sanmartin,665665,CIN,L,90.9,196,1031,FF,4-Seamer,21.3,13.6
 Paul Blackburn,621112,OAK,R,91.6,195,1762,FF,4-Seamer,16.1,5.5
 Packy Naughton,676050,STL,L,92.8,195,562,FF,4-Seamer,17.2,7.1
 Wily Peralta,503449,DET,R,95.4,191,694,FF,4-Seamer,13.7,7.1
 Brayan Bello,678394,BOS,R,97.0,186,997,FF,4-Seamer,15.7,9.5
 Dauri Moreta,664294,CIN,R,95.9,186,613,FF,4-Seamer,11.9,8.2
 Zach Eflin,621107,PHI,R,93.1,185,1194,FF,4-Seamer,17.6,10.4
 Anthony Banda,607455,NYY,L,95.2,176,551,FF,4-Seamer,15.0,10.9
 Garrett Richards,572070,TEX,R,94.4,176,708,FF,4-Seamer,21.9,0.5
 Evan Phillips,623465,LAD,R,96.0,175,923,FF,4-Seamer,15.6,5.3
 Michael King,650633,NYY,R,96.4,174,776,FF,4-Seamer,12.8,7.1
 Lou Trivino,642152,NYY,R,95.6,173,955,FF,4-Seamer,16.0,9.2
 Michael Fulmer,605242,MIN,R,94.2,159,1043,FF,4-Seamer,15.0,4.0
 Josh Winckowski,670174,BOS,R,93.7,154,1194,FF,4-Seamer,16.2,2.8
 Nick Sandlin,680704,CLE,R,93.6,152,740,FF,4-Seamer,20.2,11.3
 Joe Barlow,669618,TEX,R,94.6,151,554,FF,4-Seamer,11.4,6.1
 Jake Woodford,663765,STL,R,92.4,149,697,FF,4-Seamer,18.4,5.5
 Dillon Peters,596071,PIT,L,92.9,148,634,FF,4-Seamer,15.1,4.8
 Clarke Schmidt,657376,NYY,R,94.7,148,930,FF,4-Seamer,16.6,4.9
 Manny Bañuelos,544365,PIT,L,93.7,148,718,FF,4-Seamer,17.8,11.5
 Javier Assad,665871,CHC,R,92.9,147,690,FF,4-Seamer,15.2,6.9
 Huascar Brazoban,623211,MIA,R,97.3,147,631,FF,4-Seamer,14.2,10.3
 JT Brubaker,664141,PIT,R,92.7,141,2381,FF,4-Seamer,16.2,9.3
 Aaron Civale,650644,CLE,R,90.7,139,1588,FF,4-Seamer,16.0,2.1
 Adam Ottavino,493603,NYM,R,94.8,130,1057,FF,4-Seamer,16.6,8.2
 Chase Anderson,502624,CIN,R,91.9,128,493,FF,4-Seamer,14.7,6.8
 Tyler Gilbert,656457,AZ,L,89.5,128,564,FF,4-Seamer,18.9,7.0
 Hayden Wesneski,669713,CHC,R,93.1,126,495,FF,4-Seamer,18.6,6.3
 Alex Colomé,517008,COL,R,94.5,125,803,FF,4-Seamer,14.4,2.4
 Kendall Graveman,608665,CWS,R,96.6,123,1035,FF,4-Seamer,13.9,9.0
 José Ureña,570632,COL,R,96.1,119,1622,FF,4-Seamer,16.9,9.9
 Duane Underwood Jr.,621249,PIT,R,95.9,117,1004,FF,4-Seamer,14.9,7.2
 Kirby Snead,669912,OAK,L,93.5,106,780,FF,4-Seamer,18.5,14.2
 Tommy Nance,667297,MIA,R,93.8,100,751,FF,4-Seamer,15.4,9.1
 Anthony Bass,542914,TOR,R,95.0,98,986,FF,4-Seamer,13.5,6.4
 Scott Effross,664123,NYY,R,90.8,92,815,FF,4-Seamer,29.6,17.3
 Albert Abreu,656061,NYY,R,97.6,86,707,FF,4-Seamer,12.9,10.6
 Jason Foley,671345,DET,R,96.1,85,961,FF,4-Seamer,16.7,13.0
 Wade Miley,489119,CHC,L,89.1,79,566,FF,4-Seamer,16.7,3.3
 Brett Martin,656685,TEX,L,93.5,77,750,FF,4-Seamer,17.2,5.4
 Dallas Keuchel,572971,TEX,L,87.9,75,1165,FF,4-Seamer,21.6,3.5
 Yohan Ramirez,670990,PIT,R,93.8,74,620,FF,4-Seamer,19.0,9.2
 Humberto Castellanos,528748,AZ,R,89.4,74,748,FF,4-Seamer,22.6,6.5
 Brusdar Graterol,660813,LAD,R,99.4,72,675,FF,4-Seamer,14.4,8.3
 Daulton Jefferies,641726,OAK,R,92.4,72,611,FF,4-Seamer,17.2,10.8
 Dennis Santana,642701,TEX,R,97.7,72,991,FF,4-Seamer,13.9,12.8
 Jared Koenig,657649,OAK,L,89.4,71,653,FF,4-Seamer,21.1,4.2
 Ryan Thompson,657044,TB,R,91.6,71,679,FF,4-Seamer,26.8,13.5
 Daniel Castano,641447,MIA,L,92.0,70,577,FF,4-Seamer,19.5,5.3
 Jhoulys Chacín,468504,COL,R,92.6,70,786,FF,4-Seamer,18.4,3.1
 Víctor Arano,644364,WSH,R,94.5,66,678,FF,4-Seamer,14.8,8.5
 Ralph Garza Jr.,621248,TB,R,91.2,65,514,FF,4-Seamer,16.1,7.7
 Matt Wisler,605538,TB,R,89.7,64,749,FF,4-Seamer,17.1,10.1
 Joely Rodríguez,570257,NYM,L,92.8,57,842,FF,4-Seamer,20.2,12.0
 Tyler Danish,641501,BOS,R,91.2,50,664,FF,4-Seamer,24.9,13.2
 Diego Castillo,650895,SEA,R,95.7,47,843,FF,4-Seamer,18.9,11.9
 Richard Bleier,542947,MIA,L,90.7,44,768,FF,4-Seamer,21.2,7.1
